AssayID,publication_DOI,AssayType,AssayName,medium_MediumID,medium_publication_DOI,material_MaterialID,material_publication_DOI
195,10.1021/acs.est.5b01041,life cycle,"Loss of Singlet Oxygen acceptor, Furfuryl alcohol (FFA)",1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
196,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
197,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
198,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
199,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
200,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
201,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
202,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
203,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
204,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
205,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
206,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
207,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
208,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
209,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
210,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
211,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
212,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
213,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,1,10.1021/acs.est.5b01041
214,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
215,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
216,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
217,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
218,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
219,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,4,10.1021/acs.est.5b01041
220,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,3,10.1021/acs.est.5b01041
221,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,3,10.1021/acs.est.5b01041
222,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,3,10.1021/acs.est.5b01041
223,10.1021/acs.est.5b01041,life cycle,product formation,1,10.1021/acs.est.5b01041,3,10.1021/acs.est.5b01041
